,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
375,Alegrete,0,BR,1569645536,85,-29.79,-55.79,51.52,16.62
376,Alta Floresta,17,BR,1569645538,76,-9.87,-56.08,73.5,0.85
377,Berkovica,0,BA,1569645539,93,44.62,18.43,46.4,1.12
378,Carlsbad,75,CZ,1569645540,93,50.23,12.87,53.01,3.36
379,Maceio,40,BR,1569645542,94,-9.67,-35.74,71.6,4.7
380,Rockhampton,7,AU,1569645543,33,-23.38,150.51,86.0,5.82
381,Kelvington,22,CA,1569645545,55,52.16,-103.52,30.82,4.59
382,San Andres,100,PH,1569645546,55,13.32,122.68,89.52,3.85
383,Omsukchan,96,RU,1569645547,61,62.53,155.8,27.38,4.76
384,Lerwick,66,GB,1569645548,100,60.15,-1.15,51.8,10.29
385,Gien,50,FR,1569645550,90,47.69,2.63,57.99,1.99
386,Chinchani,75,IN,1569645551,78,16.42,74.53,75.2,9.17
387,Hermiston,90,US,1569645309,50,45.84,-119.29,59.0,11.41
388,Flinders,0,AU,1569645554,34,-34.58,150.85,68.0,10.29
389,Puerto Salgar,78,CO,1569645555,97,5.46,-74.66,64.98,3.62
390,Curitiba,40,BR,1569645273,81,-25.43,-49.27,52.0,10.29
391,Port-Gentil,100,GA,1569645558,85,-0.72,8.78,77.51,16.75
392,Yelatma,50,RU,1569645559,77,54.97,41.75,43.85,3.89
393,Hangal,73,IN,1569645560,66,14.77,75.13,81.29,5.93
394,Espoo,75,FI,1569645562,93,60.22,24.66,48.99,8.05
395,Ngaoundere,43,CM,1569645563,90,7.32,13.58,66.69,2.55
396,Ronne,75,FR,1569645564,93,48.45,0.83,55.4,12.75
397,Bijie,5,CN,1569645566,54,27.3,105.3,69.77,4.97
398,Placido de Castro,1,BR,1569645567,55,-10.34,-67.19,75.12,0.96
399,Snyder,1,US,1569645568,54,32.72,-100.92,82.99,10.29
400,Bongandanga,29,CD,1569645570,76,1.51,21.07,77.35,1.59
401,Yar-Sale,41,RU,1569645571,77,66.83,70.83,35.65,0.34
402,Cap Malheureux,40,MU,1569645572,69,-19.98,57.61,75.99,12.75
403,Cay,0,TR,1569645574,67,38.59,31.03,54.55,5.1
404,Hutchinson,1,US,1569645367,82,38.06,-97.93,78.8,17.22
405,Honiara,20,SB,1569645576,74,-9.43,159.96,87.8,9.17
406,Spassk-Dalniy,38,RU,1569645578,50,44.6,132.82,74.45,15.68
407,Namatanai,80,PG,1569645579,71,-3.66,152.44,83.49,8.86
408,Oyama,75,JP,1569645580,48,36.31,139.8,88.0,8.05
409,Eureka,1,US,1569645301,66,40.8,-124.16,55.99,8.05
410,Assiniboia,94,CA,1569645583,61,49.63,-105.99,38.6,7.36
411,Terrace,75,CA,1569645475,75,54.52,-128.61,46.4,8.05
412,Carbonia,5,IT,1569645585,77,39.17,8.53,68.0,3.36
413,Newport Beach,90,US,1569645500,64,33.62,-117.93,69.01,6.93
414,Kargil,41,PK,1569645588,36,34.56,76.13,54.2,3.76
415,Port Macquarie,3,AU,1569645589,55,-31.43,152.91,73.99,23.04
416,Yeppoon,0,AU,1569645590,33,-23.13,150.74,86.0,5.82
417,Trzebnica,20,PL,1569645592,93,51.31,17.06,57.2,8.05
418,Kuliyapitiya,20,LK,1569645593,79,7.47,80.04,84.2,5.82
419,Meulaboh,100,ID,1569645594,73,4.14,96.13,82.0,5.99
420,Lokosovo,100,RU,1569645596,89,61.13,74.84,36.13,7.09
421,Madona,36,LV,1569645597,82,56.85,26.22,45.55,7.14
422,Havelock,40,US,1569645598,100,34.88,-76.9,78.8,1.43
423,Altay,100,CN,1569645599,60,47.83,88.13,55.23,14.47
424,Xihua,0,CN,1569645601,30,33.79,114.53,87.09,7.54
425,Conde,28,BR,1569645602,98,-11.81,-37.61,68.76,4.14
426,Margate,75,AU,1569645604,38,-43.03,147.26,60.8,17.22
427,Camacha,20,PT,1569645605,73,33.08,-16.33,69.8,6.93
428,Jackson,1,US,1569645602,69,32.3,-90.18,78.8,4.7
429,Tabriz,0,IR,1569645523,38,38.08,46.29,59.0,2.24
430,Nalut,0,LY,1569645609,84,31.86,10.98,65.7,7.2
431,Alice Springs,0,AU,1569645610,12,-23.7,133.88,87.8,10.29
432,Jacareacanga,100,BR,1569645611,89,-6.22,-57.76,73.46,1.48
433,Murgab,0,TM,1569645613,49,37.5,61.97,69.8,6.93
434,Samana,15,EC,1569645614,98,0.12,-76.97,68.66,2.68
435,Sechura,39,PE,1569645615,90,-5.56,-80.82,62.43,5.19
436,Maniitsoq,0,GL,1569645617,72,65.42,-52.9,41.03,7.47
437,Shymkent,0,KZ,1569645618,35,42.31,69.59,71.6,2.24
438,Yanam,75,IN,1569645619,83,16.73,82.22,82.4,4.7
439,Koulikoro,20,ML,1569645620,83,12.86,-7.56,75.2,6.93
440,Hofn,98,IS,1569645622,89,64.25,-15.21,38.0,24.38
441,Sheffield,0,GB,1569645325,87,53.38,-1.47,55.0,18.34
442,Timizart,0,DZ,1569645624,74,36.8,4.25,75.68,8.68
443,Sabha,0,LY,1569645626,41,27.03,14.43,74.81,8.32
444,Vila Franca do Campo,40,PT,1569645627,94,37.72,-25.43,71.6,10.29
445,Dudinka,0,RU,1569645628,96,69.41,86.18,35.6,11.18
446,Talnakh,0,RU,1569645630,92,69.49,88.39,35.6,11.18
447,Ayan,0,IR,1569645631,38,38.23,44.7,59.0,2.24
448,Oranjemund,0,ZA,1569645632,56,-28.55,16.43,63.49,6.26
449,Santa Cruz,1,BR,1569645374,93,-6.22,-36.02,64.34,7.65
450,Tinqueux,75,FR,1569645635,82,49.25,3.99,57.2,8.05
451,Olga,90,US,1569645637,72,34.11,-118.17,68.0,5.82
452,Carballo,0,ES,1569645638,100,43.21,-8.69,55.0,5.82
453,Maryville,20,US,1569645360,100,35.76,-83.97,77.0,2.37
454,Hachinohe,75,JP,1569645640,69,40.47,141.48,77.0,8.05
455,Klaksvik,79,FO,1569645642,93,62.23,-6.59,51.8,3.36
456,Belle Glade,20,US,1569645643,94,26.68,-80.67,82.4,4.7
457,Copacabana,29,BO,1569645644,81,-16.17,-69.08,44.86,2.89
458,Prainha,27,BR,1569645646,83,-1.8,-53.48,76.43,3.24
459,Barcelos,100,BR,1569645647,94,-0.97,-62.93,72.78,0.81
460,Japura,25,ID,1569645648,48,-0.42,102.29,91.48,3.69
461,Cachira,40,CO,1569645649,58,7.74,-73.05,84.2,9.17
462,Tiznit,0,MA,1569645651,85,29.7,-9.73,68.06,0.94
463,La Ronge,90,CA,1569645652,64,55.1,-105.3,37.4,3.36
464,Luderitz,0,NA,1569645653,100,-26.65,15.16,55.4,14.99
465,Bethel,90,US,1569645655,87,60.79,-161.76,48.2,11.41
466,Cayenne,0,GF,1569645396,94,4.94,-52.33,75.2,6.6
467,Ulaangom,97,MN,1569645657,36,49.98,92.07,60.23,7.63
468,Turukhansk,100,RU,1569645659,96,65.8,87.96,34.78,8.23
469,Te Anau,100,NZ,1569645660,90,-45.41,167.72,47.9,7.43
470,Brandon,1,US,1569645588,81,43.59,-96.57,52.0,8.05
471,Tucumcari,1,US,1569645663,35,35.17,-103.73,72.0,8.05
472,Sinnamary,54,GF,1569645664,79,5.38,-52.96,82.35,17.2
473,Cockburn Town,100,TC,1569645665,76,21.46,-71.14,83.96,8.28
474,Skelleftea,15,SE,1569645667,93,64.75,20.95,42.8,2.24
475,Zhob,0,PK,1569645668,27,31.34,69.45,76.61,3.38
476,Mocuba,53,MZ,1569645669,41,-16.84,36.99,75.68,2.89
477,Hastings,0,NZ,1569645671,67,-39.64,176.84,51.31,3.91
478,Bandarbeyla,81,SO,1569645672,53,9.49,50.81,84.5,14.18
479,Lakatoro,68,VU,1569645673,74,-16.11,167.42,80.6,14.99
480,Whitehorse,20,CA,1569645675,55,60.72,-135.06,37.4,6.93
481,Horki,90,BY,1569645676,81,54.29,30.98,32.0,2.24
482,Vitim,33,RU,1569645677,61,59.44,112.57,40.81,4.88
483,Brewster,1,US,1569645540,87,41.76,-70.08,64.0,12.17
484,Aripuana,10,BR,1569645390,70,-9.17,-60.63,75.95,1.57
485,Glamoc,48,BA,1569645682,67,44.05,16.85,56.25,2.39
486,Vila,20,IT,1569645683,100,45.18,8.4,66.0,4.61
487,Husavik,5,CA,1569645684,74,50.56,-96.99,43.0,5.99
488,Yuxia,0,CN,1569645686,54,34.06,108.63,78.8,4.47
489,Tamandare,54,BR,1569645687,95,-8.28,-70.75,71.48,3.2
490,Hamilton,75,CA,1569645639,63,43.26,-79.87,71.01,9.17
491,Asyut,0,EG,1569645691,63,27.18,31.19,76.99,8.59
492,Manta,23,RO,1569645693,63,45.1,24.1,57.35,2.08
493,San Jose,100,HN,1569645510,98,14.25,-87.96,64.55,4.21
494,Urucara,100,BR,1569645696,97,-2.54,-57.76,72.62,1.86
495,Craig,90,US,1569645697,76,40.52,-107.55,53.6,5.44
496,Robertsport,99,LR,1569645698,94,6.75,-11.37,76.61,5.1
497,Tocopilla,71,CL,1569645700,82,-22.09,-70.2,56.49,5.68
498,Zanesville,1,US,1569645416,56,39.94,-82.01,72.0,6.93
499,Emmett,1,US,1569645702,62,43.87,-116.5,55.99,11.01
500,Muros,10,ES,1569645703,100,42.77,-9.06,59.0,5.99
501,Inirida,56,CO,1569645705,91,3.87,-67.92,74.27,1.54
502,Saint George,0,GR,1569645706,81,39.45,22.34,60.8,0.78
503,Imeni Poliny Osipenko,44,RU,1569645707,48,52.42,136.49,75.17,8.19
504,Sola,99,TZ,1569645709,56,-3.17,33.8,74.83,4.94
505,Roros,100,NO,1569645710,100,62.57,11.38,42.8,11.41
506,Turbat,5,PK,1569645711,43,26.0,63.05,93.01,7.2
507,Chipata,97,ZM,1569645713,28,-13.64,32.65,77.33,0.94
508,Uyuni,22,BO,1569645714,24,-20.46,-66.82,46.03,3.06
509,Rio Gallegos,0,AR,1569645628,81,-51.62,-69.22,42.8,3.36
510,Poronaysk,0,RU,1569645716,57,49.22,143.1,68.8,4.52
511,Sao Domingos,89,BR,1569645718,56,-13.4,-46.32,74.29,2.21
512,Weligama,89,LK,1569645719,74,5.97,80.42,81.53,3.53
513,Acapulco,90,MX,1569645720,94,16.86,-99.88,78.8,6.93
514,Kawerau,31,NZ,1569645722,60,-38.09,176.7,64.99,1.01
515,Arnes,13,ES,1569645723,70,40.91,0.26,71.01,1.01
516,Bahia Honda,67,CU,1569645724,77,22.9,-83.16,82.07,14.0
517,Sena Madureira,13,BR,1569645726,72,-9.07,-68.66,74.33,3.47
518,Payakumbuh,28,ID,1569645727,80,-0.23,100.63,78.02,3.42
519,Thunder Bay,5,CA,1569645696,100,48.41,-89.26,39.0,3.36
520,Dieppe,20,CA,1569645729,93,46.09,-64.74,48.2,5.82
521,Evensk,34,RU,1569645731,48,61.92,159.24,41.85,10.31
522,Astara,0,AZ,1569645732,82,38.42,48.87,68.0,6.38
523,Kangaatsiaq,0,GL,1569645733,80,68.31,-53.46,41.98,7.23
524,Yuza,75,JP,1569645735,53,39.05,139.95,75.2,9.17
525,Pedernales,29,EC,1569645736,84,0.07,-80.05,74.45,12.8
526,Tessalit,0,ML,1569645737,9,20.2,1.01,85.27,8.68
527,Nakamura,75,JP,1569645739,61,35.17,136.87,86.0,13.87
528,Barrhead,90,CA,1569645740,82,54.12,-114.4,32.0,5.82
529,Fortuna,75,US,1569645724,76,40.6,-124.16,57.0,8.05
530,Muzhi,63,RU,1569645742,77,65.4,64.7,34.28,6.46
531,Galeana,91,MX,1569645744,87,24.83,-100.08,62.66,4.12
532,Soyo,55,AO,1569645745,82,-6.13,12.37,75.95,8.3
533,Pearland,1,US,1569645747,88,29.56,-95.29,82.0,7.02
534,Cuamba,68,MZ,1569645748,41,-14.8,36.54,75.75,2.3
535,Neiafu,75,TO,1569645749,78,-18.65,-173.98,75.2,3.36
536,San Luis,0,AR,1569645750,29,-33.3,-66.34,72.02,20.87
537,Cacule,57,BR,1569645752,72,-14.5,-42.22,66.53,4.09
538,Bonthe,93,SL,1569645753,92,7.53,-12.5,76.76,6.44
539,Sarangani,41,PH,1569645754,70,5.4,125.46,83.61,9.01
540,Shache,0,CN,1569645756,10,38.42,77.24,88.49,13.78
541,Bilma,21,NE,1569645757,11,18.69,12.92,86.58,6.29
542,Nadym,100,RU,1569645758,87,65.53,72.51,34.55,3.98
543,Miraflores,0,PE,1569645760,62,-16.39,-71.52,51.8,1.95
544,Hokitika,99,NZ,1569645761,87,-42.72,170.96,53.09,11.25
545,Rio Grande,66,BR,1569645762,89,-32.03,-52.1,51.66,6.42
546,Urucui,19,BR,1569645763,62,-7.23,-44.56,75.12,0.74
547,Kailua,75,US,1569645765,74,21.39,-157.74,84.2,11.41
548,Kruisfontein,91,ZA,1569645766,84,-34.0,24.73,64.46,6.4
549,Meridian,1,US,1569645767,62,43.61,-116.39,55.99,4.59
550,Deputatskiy,95,RU,1569645769,84,69.3,139.9,26.3,1.74
551,Talcahuano,90,CL,1569645770,87,-36.72,-73.12,53.6,3.36
552,Alpena,90,US,1569645771,100,45.06,-83.43,57.99,3.36
553,Zhigalovo,87,RU,1569645777,33,54.81,105.15,46.41,8.59
554,Viedma,100,AR,1569645778,68,-40.81,-62.99,59.5,22.88
555,Guerrero Negro,0,MX,1569645780,85,27.97,-114.04,67.83,19.64
556,Wanning,75,AT,1569645781,87,48.64,13.53,57.99,4.7
557,Hornepayne,17,CA,1569645782,94,49.22,-84.78,36.53,3.96
558,Nome,1,US,1569645784,83,30.04,-94.42,82.99,3.36
559,Guerrero,0,AR,1569645785,55,-24.19,-65.45,66.2,9.17
560,Yerbogachen,100,RU,1569645587,78,61.28,108.01,37.1,5.77
